"";"CC34_36_S5";"CC35_S16";"CC37_1_S6";"CC37_2_S31";"CC38_S32";"CC39_S33";"CC41_S34";"CC42_1_S17";"CC42_2_S35";"CC45_S15";"CCR43_S36";"CCR44_S37";"CCR45_S38";"CCR47_S39";"CCR48_S40";"CCR50_S20";"CCR51_S19";"CCR55_S7";"CCR56_S8";"CCR62_S18";"CR18_S13";"CR19_S14";"CR23_S3";"CR24_S4";"CR29_S12";"CR31_S26";"CR32_S27";"CR33_S28";"CR35_S29";"CR36_S30";"CV1_S1";"CV13_S10";"CV14_S11";"CV16_S2";"CV25_S21";"CV26_S22";"CV27_S23";"CV29_S24";"CV30_S25";"CV5_S9"
"ASV152";"0";"144";"0";"0";"0";"0";"0";"0";"0";"271";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"1054";"0";"0";"0";"0";"0";"0";"0"
"ASV153";"68";"97";"51";"0";"0";"0";"0";"88";"0";"50";"0";"36";"0";"41";"0";"48";"69";"23";"77";"202";"0";"27";"39";"96";"0";"37";"139";"80";"0";"0";"142";"0";"0";"0";"0";"0";"0";"0";"0";"67"
"ASV154";"850";"0";"582";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV155";"0";"0";"0";"0";"0";"0";"0";"1423";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV156";"80";"0";"0";"62";"72";"61";"71";"31";"13";"0";"56";"243";"46";"74";"150";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"25";"31";"27";"0";"0";"16";"0";"76";"65";"20";"115";"76";"0"
"ASV157";"0";"0";"0";"0";"0";"0";"0";"1397";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV158";"83";"0";"0";"0";"10";"0";"14";"0";"0";"0";"0";"12";"0";"494";"711";"17";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"11";"0";"0";"11";"0"
"ASV159";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"526";"73";"9";"129";"266";"283";"9";"0";"0";"0";"0";"0";"18";"13";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV160";"129";"0";"60";"52";"26";"0";"40";"0";"0";"0";"63";"125";"9";"11";"15";"0";"32";"0";"75";"83";"0";"16";"131";"14";"0";"19";"140";"97";"44";"24";"0";"0";"0";"0";"0";"100";"0";"24";"11";"0"
"ASV161";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"785";"274";"0";"0";"0";"199";"73";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV162";"0";"10";"76";"0";"0";"23";"143";"11";"28";"0";"133";"126";"17";"22";"65";"32";"43";"0";"0";"32";"24";"0";"35";"42";"0";"30";"76";"78";"93";"81";"0";"36";"0";"0";"35";"35";"11";"0";"0";"0"
"ASV163";"0";"0";"0";"0";"0";"0";"424";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"0";"0";"0";"0";"0";"0";"88";"42";"0";"0";"0";"0";"0";"125";"0";"159";"444";"0"
"ASV164";"0";"24";"0";"0";"0";"0";"5";"5";"7";"9";"224";"64";"0";"12";"5";"13";"85";"0";"0";"103";"8";"34";"0";"0";"0";"8";"29";"124";"201";"184";"0";"69";"9";"45";"12";"8";"0";"11";"8";"0"
"ASV165";"0";"0";"56";"21";"0";"19";"142";"18";"29";"0";"103";"131";"11";"19";"69";"0";"39";"0";"0";"43";"0";"0";"0";"46";"0";"26";"74";"70";"94";"102";"0";"35";"0";"0";"47";"36";"18";"0";"37";"0"
"ASV166";"0";"0";"0";"306";"425";"48";"210";"0";"50";"0";"0";"0";"0";"0";"0";"0";"27";"0";"0";"18";"0";"0";"0";"0";"0";"38";"14";"0";"16";"21";"0";"0";"0";"0";"0";"52";"0";"41";"0";"0"
"ASV167";"66";"0";"52";"96";"25";"10";"146";"24";"20";"0";"11";"16";"0";"0";"16";"39";"51";"0";"0";"12";"0";"13";"0";"0";"0";"0";"133";"130";"27";"38";"0";"9";"0";"0";"34";"143";"0";"49";"97";"6"
